



TEST,TEST,TANGIBLE,EQUIPMENT,,12345001,EQUIPMENT
WK4200001,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345001,EQUIPMENT
WK4200002,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345002,EQUIPMENT
WK4200003,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345003,EQUIPMENT
WK4200004,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345004,EQUIPMENT
WK4200005,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345005,EQUIPMENT
WK4200006,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345006,EQUIPMENT
WK4200007,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345007,EQUIPMENT
WK4200008,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345008,EQUIPMENT
WK4200009,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345009,EQUIPMENT
WK4200010,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345010,EQUIPMENT
WK4200011,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345011,EQUIPMENT
WK4200012,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345012,EQUIPMENT
WK4200013,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345013,EQUIPMENT
WK4200014,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345014,EQUIPMENT
WK4200015,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345015,EQUIPMENT
WK4200016,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345016,EQUIPMENT
WK4200017,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345017,EQUIPMENT
WK4200018,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345018,EQUIPMENT
WK4200019,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345019,EQUIPMENT
WK4200020,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345020,EQUIPMENT
WK4200021,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345021,EQUIPMENT
WK4200022,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345022,EQUIPMENT
WK4200023,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345023,EQUIPMENT
WK4200024,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345024,EQUIPMENT
WK4200025,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345025,EQUIPMENT
WK4200026,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345026,EQUIPMENT
WK4200027,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345027,EQUIPMENT
WK4200028,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345028,EQUIPMENT
WK4200029,Simple Asset,TANGIBLE,EQUIPMENT,NORTH,12345029,EQUIPMENT
